ID,Incident Number,Arrest Date,Court Number,Case Filed,Status,Suspect Charge List,Case Type
106686,190000322,2019/01/01,19000021,N,Discharge Only,",273.5(A),236,",Felony
106687,190000883,2019/01/01,19000045,N,Discharge Only,",594(B)1,",Felony
106689,190000350,2019/01/01,19000014,N,Discharge Only,",148(A)1,",Misdemeanor
106690,190000001,2019/01/01,19000018,Y,Filed,",23152(A),23152(B),",Misdemeanor
106691,190000002,2019/01/01,19000019,Y,Filed,",23152(B),23152(A),",Misdemeanor
106692,190000394,2019/01/01,19000023,N,Discharge Only,",664/211,182(A)1,245(A)1,",Felony
106693,190000394,2019/01/01,19000024,N,Discharge Only,",245(A)1,664/211,182(A)1,",Felony
106694,190000219,2019/01/01,19000025,N,Discharge Only,",236,273.5(A),243(A),245(A)1,",Felony
106695,190000394,2019/01/01,19000026,N,Discharge Only,",664/211,182(A)1,245(A)1,",Felony
106696,180979834,2019/01/01,19000027,N,Discharge Only,",10851(A),496D,",Felony
106697,190000736,2019/01/01,19000032,Y,Filed,",487(A),",Felony
106698,Z20190101-19000035,2019/01/01,19000035,N,Other Action,",602(M),",Misdemeanor
106699,190660030,2019/01/01,19000036,Y,Filed,",166(A)4,",Misdemeanor
106700,190000742,2019/01/01,19000037,N,Discharge Only,",11532(A),11351.5,",Felony
106701,190000407,2019/01/01,19000039,N,Other Action,",594(B)1,148(A)1,",Felony
106702,190000805,2019/01/01,19000040,N,Discharge Only,",11364(A),",Misdemeanor
106703,Z20190101-19000041,2019/01/01,19000041,Y,Filed,",23153(A),23153(B),",Felony
106704,190970456,2019/01/01,19000044,Y,Filed,",459,459,",Felony
106705,190001104,2019/01/01,19000046,N,Discharge Only,",243(E)1,",Misdemeanor
106706,190001154,2019/01/01,19000049,N,Other Action,",14601.1(A),11377(A),4000(A)1,",Misdemeanor
106707,Z20190101-19000052,2019/01/01,19000052,Y,Filed,",10851(A),496D(A),",Felony
106708,Z20190101-19000054,2019/01/01,19000054,N,Discharge Only,",11377(A),",Misdemeanor
106709,190000861,2019/01/01,19000055,Y,Filed,",496(A),466,182(A)1,",Felony
106710,190000861,2019/01/01,19000056,Y,Filed,",182(A)1,466,496(A),",Felony
106711,190000861,2019/01/01,19000059,Y,Filed,",16028(A),12500(A),4000(A)1,466,182(A)1,496(A),",Felony
106712,190001308,2019/01/01,19000061,Y,Filed,",11364(A),496D,10851(A),466,",Felony
106713,190001201,2019/01/01,19000063,N,Other Action,",11550(A),11364(A),",Misdemeanor
106714,190001687,2019/01/01,19000067,Y,Filed,",490.2(A),602(M),417(A)1,",Misdemeanor
106715,190001875,2019/01/01,19000069,Y,Filed,",30305A1,20150(A),32310(A),",Felony
106716,190002077,2019/01/01,19000070,N,Discharge Only,",10851(A),496D(A),",Felony
106717,180985013,2019/01/01,19000071,Y,Filed,",220(A)1,459,368(C),236,",Felony
106718,190984065,2019/01/01,19000074,N,Discharge Only,",496D(A),10851(A),",Felony
106719,190001881,2019/01/01,19000075,N,Other Action,",487(A),496(A),22810(A),",Felony
106720,190002378,2019/01/01,19000076,N,Discharge Only,",243(E)1,",Misdemeanor
106721,190002293,2019/01/01,19000080,N,Other Action,",211,245(A)1,",Felony
